horizon,model,mae,mape,max_error,median_ae,r2,rmse
daily,ElasticNet,2.2087411008399735,24.984755008355567,53.2352595563491,1.4369750283821026,0.9904207643709025,3.4385971188743083
daily,GRU,20.016534890451318,192.89121578960288,145.35971672446277,13.45094175472412,0.3495768727376871,28.338150602803907
daily,GradientBoosting,0.23228522285179104,2.1840257025820837,14.132127523288453,0.15955855262154817,0.99986472607032,0.4086231055083302
daily,LSTM_Enhanced,23.482102858889128,294.76217630230116,140.50938351065662,17.239351230249024,0.1483999307969317,32.42584933609434
daily,LinearRegression,0.07690524244631845,1.3899938309804527,22.059166514643337,0.015921172236625925,0.9998301079166935,0.45793352369683893
daily,RandomForest,0.1148360839415058,0.6715537460376162,24.66653976354258,0.04741864461835088,0.9998546003779715,0.4236405329065644
daily,Ridge,0.08126221400825946,1.404648514216977,23.444616890718606,0.017782555182410675,0.999818101663083,0.4738383758997735
daily,XGBoost,0.23609262582919027,1.5206918799713034,21.981979187011717,0.11974945578002982,0.9997318253002677,0.5753402641540204
monthly,ElasticNet,6.622633267683879,21.57604560620156,101.67999850028696,4.637910379457203,0.9884092518596668,9.494705250937095
monthly,GRU,53.899685241339974,168.91259655263218,306.57306362368166,43.36379577978515,0.3727456688040145,69.8557197980662
monthly,GradientBoosting,0.5855147683742948,1.5679748704323242,18.40362371913568,0.4348048694222406,0.9999004080932652,0.88011166338763
monthly,LSTM_Enhanced,70.41142840243128,282.60499788713787,295.8095176336914,61.478983539062504,-0.014227307937001221,88.82757120768808
monthly,LinearRegression,0.18375568217225038,0.8696305231004666,69.07891698683636,0.038654323053119555,0.9998168249523285,1.1936002727750772
monthly,RandomForest,0.30142974830502656,0.5619113702564673,50.54432012777579,0.14636219581403864,0.9999030796485783,0.8682269110444604
monthly,Ridge,0.2110117622037851,0.9100643614576033,68.49071074567007,0.05096820716822492,0.9997965614154487,1.2578892786439846
monthly,XGBoost,0.5695665384201402,1.1392686576388975,26.810818935546877,0.3327056660156238,0.9998423830865556,1.1072027660175576
yearly,ElasticNet,16.24514222827672,11.623369825271771,174.48251352601966,12.306860438550103,0.9885526356644853,21.978193663147664
yearly,GRU,145.53302045498242,109.16478340897709,671.4116193603514,130.6264478955078,0.2516116074629371,177.63128165881645
yearly,GradientBoosting,1.4482528161981763,0.8955647044938201,52.08566996858633,1.1178348977196464,0.9998943814877713,2.111102237425209
yearly,LSTM_Enhanced,188.58047213653165,176.34238589364764,913.361987734375,169.7591660595703,-0.24531817581775983,229.1374582416071
yearly,LinearRegression,0.47943341283358665,0.5738721015002028,83.48034452253171,0.1012201797354777,0.9998759803891154,2.287622847709379
yearly,RandomForest,0.7843306595470785,0.42592188115431323,59.28429170954121,0.4042755314511908,0.9999206507930638,1.8298291359381964
yearly,Ridge,0.5743720632669892,0.6118693006707066,82.01758172867562,0.1356585082246049,0.9998511630990418,2.5060778186558714
yearly,XGBoost,1.3594049360138583,0.7139346326190836,73.53019794921875,0.8869192041015594,0.9998385069384512,2.6104547961189173
