,,rmse,mae,r2
daily,LinearRegression,34.630345852619556,24.327924883644236,0.17533055008619303
daily,RandomForest,39.21212159075661,27.3284116543213,-0.0573211749139142
daily,XGBoost,34.50629726282624,24.258173083771982,0.18122802862198573
daily,LSTM,31.25121268222939,22.597778616772715,0.3285090830655688
monthly,LinearRegression,85.99216028092825,64.60708930785273,0.16468494517086174
monthly,RandomForest,97.87654151637759,73.08354189927473,-0.0821558715677766
monthly,XGBoost,85.72455231857352,64.4021550466124,0.1698758633904115
monthly,LSTM,77.349379783894,58.73591630338074,0.324245992035574
yearly,LinearRegression,206.01056223678717,164.41128096150473,0.05546488244480896
yearly,RandomForest,239.02997975564762,188.21894993304227,-0.27158057280590153
yearly,XGBoost,206.6479537183502,164.79939608090692,0.049611105069535366
yearly,LSTM,199.6758322327716,160.29549176141873,0.11254256548028196
